"numero_dpe","date_derniere_modification_dpe","date_visite_diagnostiqueur","date_etablissement_dpe","date_reception_dpe","date_fin_validite_dpe","numero_dpe_remplace","numero_dpe_immeuble_associe","id_rnb","provenance_id_rnb","numero_immatriculation_copropriete","modele_dpe","version_dpe","methode_dpe","categorie_erp","secteur_activite","etiquette_dpe","etiquette_ges","annee_construction","periode_construction","surface_shon","surface_utile","nombre_occupant","adresse_ban","numero_voie_ban","nom_rue_ban","nom_commune_ban","code_postal_ban","code_insee_ban","code_departement_ban","code_region_ban","identifiant_ban","coordonnee_cartographique_x_ban","coordonnee_cartographique_y_ban","score_ban","statut_geocodage","adresse_brut","nom_commune_brut","code_postal_brut","numero_etage_appartement","nom_residence","complement_adresse_batiment","complement_adresse_logement","conso_kwhep_m2_an","emission_ges_kg_co2_m2_an","type_energie_principale_chauffage","type_energie_n1","type_usage_energie_n1","conso_ep_energie_n1","conso_ef_energie_n1","frais_annuel_energie_n1","annee_releve_conso_energie_n1","type_energie_n2","type_usage_energie_n2","conso_ep_energie_n2","conso_ef_energie_n2","frais_annuel_energie_n2","annee_releve_conso_energie_n2","type_energie_n3","type_usage_energie_n3","conso_ep_energie_n3","conso_ef_energie_n3","frais_annuel_energie_n3","annee_releve_conso_energie_n3"
"2220T2536841F","2023-10-26","2022-10-23","2022-10-23","2022-10-27","2032-10-22",,,,,,"DPE 2006 tertiaire et ERP",2.2,"dpe tertiaire facture dans un bâtiment de logement",,"N : Restaurants et débits de boisson","F","C",1949,"avant 1948",130,143,7,"San Salvadore 20000 Ajaccio",,"San Salvadore","Ajaccio","20000","2A004","2A","94","2A004_B235",1175366.91,6108696.47,0.35,"adresse non géocodée ban car aucune correspondance trouvée","Résidence DES CANNES","AJACCIO","20000",,,,,724,20,,"Électricité","Autres usages",103500,45000,13053,2022,"Électricité","Autres usages",103500,45000,13053,2021,"Électricité","Autres usages",103500,45000,13053,2020
"2420T1929179R","2024-05-30","2024-05-26","2024-05-29","2024-05-30","2034-05-28",,,,,,"DPE 2006 tertiaire et ERP",2.3,"dpe tertiaire vierge","5ème Catégorie","N : Restaurants et débits de boisson",,,,"1983-1988",150,100,0,"Baleone 20167 Sarrola-Carcopino",,"Baleone","Sarrola-Carcopino","20167","2A271","2A","94","2a271_7zv546",1181518.03,6112807.44,0.46,"adresse géocodée ban à l'adresse","Complexe sportif de Baleone","SARROLA CARCOPINO","20167",0,,"DIA-PNA04-2405-031","Etage : RDC",,,,,,,,,,,,,,,,,,,,,
"2220T0027062G","2023-10-26","2022-01-04","2022-01-06","2022-01-07","2032-01-05",,,,,,"DPE 2006 tertiaire et ERP",2,"dpe tertiaire vierge",,"autres tertiaires non ERP",,,1970,"1948-1974",,103.4,500,"6 Avenue de Paris 20000 Ajaccio","6","Avenue de Paris","Ajaccio","20000","2A004","2A","94","2a004_1045_00006",1176456.38,6108195.97,0.96,"adresse géocodée ban à l'adresse","de Paris","AJACCIO","20000",0,"Résidence Diamant III","Sans objet","En façade",,,,,,,,,,,,,,,,,,,,,
"2220T2822842G","2023-10-26","2022-11-09","2022-11-24","2022-11-25","2032-11-23",,,,,,"DPE 2006 tertiaire et ERP",2.2,"dpe tertiaire facture","5ème Catégorie","O : Hôtels et pensions de famille","C","C",1970,"1948-1974",235,100,0,"Route du Couvent 20224 Calacuccia",,,"Calacuccia","20224","2B047","2B","94","2B047_0277",1195345.19,6155870.04,0.28,"adresse géocodée ban à l'adresse","Casa Balduina
Lieu-dit le Couvent","CALACUCCIA","20224",0,,"22/0601/LLO",,97.4,17.1,,"Propane","périmètre de l'usage inconnu",15226,15226,1750.7,2021,"Électricité","périmètre de l'usage inconnu",9955.2,4328.3,867.3,2021,,,,,,
"2220T0487194Q","2023-10-26","2022-03-09","2022-03-09","2022-03-10","2032-03-08",,,,,,"DPE 2006 tertiaire et ERP",2.1,"dpe tertiaire vierge","5ème Catégorie","W : Administrations, banques, bureaux",,,1983,"1983-1988",155.3,100,0,"15 Avenue Jean Zuccarelli 20200 Bastia","15","Avenue Jean Zuccarelli","Bastia","20200","2B033","2B","94","2b033_0661_00015",1227934.82,6199753.73,0.63,"adresse géocodée ban à l'adresse","15 Avenue Jean Zuccarelli","BASTIA","20200",0,,,"Etage 3",,,,,,,,,,,,,,,,,,,,,
"2220T0445231R","2023-10-26","2022-03-01","2022-03-03","2022-03-05","2032-03-02",,,,,,"DPE 2006 tertiaire et ERP",2.1,"dpe tertiaire vierge","5ème Catégorie","N : Restaurants et débits de boisson",,,2015,"2013-2021",,55,500,"Effrico 20167 Sarrola-Carcopino",,,"Sarrola-Carcopino","20167","2A271","2A","94","2A271_jt4d2j",1182382.88,6113901.98,0.86,"adresse géocodée ban à l'adresse","Effrico 2","SARROLA-CARCOPINO","20167",0,"26 Baléone","Sans objet","En façade",,,,,,,,,,,,,,,,,,,,,
"2220T0852028S","2023-10-26","2022-04-11","2022-04-11","2022-04-22","2032-04-10",,,,,,"DPE 2006 tertiaire et ERP",2.1,"dpe tertiaire facture",,"locaux d'entreprise (bureaux)","C","A",1983,"1983-1988",,67.9,500,"Route de la Cathédrale 20217 Saint-Florent",,,"Saint-Florent","20217","2B298","2B","94","2B298_0073",1217048.93,6196162.29,0.69,"adresse géocodée ban à l'adresse","de la Cathédrale","SAINT-FLORENT","20217",0,,,,120,3.3,,"Électricité","périmètre de l'usage inconnu",7463.5,3245,614.5,2022,,,,,,,,,,,,
"2420T1366609J","2024-04-16","2024-03-21","2024-03-21","2024-04-16","2034-03-20",,,,,,"DPE 2006 tertiaire et ERP",2.3,"dpe tertiaire facture dans un bâtiment de logement",,"N : Restaurants et débits de boisson","F","B",1981,"1978-1982",176,193.6,1,"Lieu Dit Grotte Scale 20220 Aregno",,"Lieu Dit Grotte Scale","Aregno","20220","2B020","2B","94","2B020_B113",1183923.71,6184140.98,0.56,"adresse non géocodée ban car aucune correspondance trouvée","Lieu-dit BARCALE","AREGNO","20220",,,,,744,21,,"Électricité","Eau Chaude sanitaire",144079,62643,9021,2024,"Électricité","Eau Chaude sanitaire",144079,62643,9021,2023,"Électricité","Eau Chaude sanitaire",144079,62643,9021,2022
"2320T3531028F","2023-10-26","2023-10-16","2023-10-18","2023-10-19","2033-10-17",,,,,,"DPE 2006 tertiaire et ERP",2.3,"dpe tertiaire facture","5ème Catégorie","locaux d'entreprise (bureaux)","A","A",2023,"après 2021",29.4,100,0,"Chemin de Pastoreccia 20600 Bastia",,"Chemin de Pastoreccia","Bastia","20600","2B033","2B","94","2B033_1315",1227160.57,6195497.55,0.52,"adresse géocodée ban à l'adresse","Espace santé lieu dit Pastoreccia","BASTIA","20600",0,,"23/IMO/0741","R+1",46.4,1.3,"Électricité","Électricité","Refroidissement",784.7,341.2,99,2023,"Électricité","Eclairage",331.5,144.1,41.8,2023,"Électricité","Eau Chaude sanitaire",202.9,88.2,25.6,2023
"2220T2720648S","2023-10-26","2022-11-14","2022-11-15","2022-11-16","2032-11-14",,,,,,"DPE 2006 tertiaire et ERP",2.2,"dpe tertiaire vierge","5ème Catégorie","M : Magasins de vente, centres commerciaux",,,2017,"2013-2021",131.3,100,0,"Lot Artisanal Stiletto 20090 Ajaccio",,,"Ajaccio","20090","2A004","2A","94","2A004_X106",1178853.35,6111651.61,0.66,"adresse géocodée ban à l'adresse","Résidence le Stiletto - bât. E
Lieu dit le Stiletto - La Rocade - local commercial n°451","AJACCIO","20090",0,,"22/11/0077",,,,,,,,,,,,,,,,,,,,,,
"2220T0817824E","2023-10-26","2022-04-12","2022-04-18","2022-04-19","2032-04-17",,,,,,"DPE 2006 tertiaire et ERP",2.1,"dpe tertiaire vierge","5ème Catégorie","M : Magasins de vente, centres commerciaux",,,2013,"2013-2021",127.9,100,0,"Residence Alta Ribba 20230 Santa-Lucia-di-Moriani",,,"Santa-Lucia-di-Moriani","20230","2B307","2B","94","2B307_A205",1237997.74,6164707.06,0.35,"adresse géocodée ban à l'adresse","Magasin Nature Evasion
Centre commercial ALTA RIBBA","SANTA LUCIA DI MORIANI","20230",0,,,,,,,,,,,,,,,,,,,,,,,,
"2220T2688119P","2023-10-26","2022-11-02","2022-11-02","2022-11-14","2032-11-01",,,,,,"DPE 2006 tertiaire et ERP",2.2,"dpe tertiaire facture dans un bâtiment de logement",,"M : Magasins de vente, centres commerciaux","D","B",1987,"1983-1988",32.3,35.5,1,"Palais des Allées 20220 L'Île-Rousse",,"Palais des Allées","L'Île-Rousse","20220","2B134","2B","94","2b134_phsiwz",1187214.17,6188613.14,0.48,"adresse non géocodée ban car aucune correspondance trouvée","Résidence LE RELAIS","L'ILE ROUSSE","20220",,,,,172,5,,"Électricité","Eau Chaude sanitaire",6104,2654,382,2022,"Électricité","Eau Chaude sanitaire",6104,2654,382,2021,"Électricité","Eau Chaude sanitaire",6104,2654,382,2020
"2420T1971911F","2024-06-03","2024-05-21","2024-05-21","2024-06-03","2034-05-20",,,,,,"DPE 2006 tertiaire et ERP",2.3,"dpe tertiaire facture dans un bâtiment de logement",,"M : Magasins de vente, centres commerciaux","C","B",1948,"après 2021",25.8,28.4,1,"31 Avenue de Valdoniello 20224 Calacuccia","31","Avenue de Valdoniello","Calacuccia","20224","2B047","2B","94","2b047_b283_00031",1196104.28,6156267.49,0.78,"adresse non géocodée ban car aucune correspondance trouvée","31 avenue de VALDONIELLU","CALACUCCIA","20224",,,,,160,4,,"Électricité","Eau Chaude sanitaire",2959,1287,185,2024,"Électricité","Eau Chaude sanitaire",2959,1287,185,2023,"Électricité","Eau Chaude sanitaire",2959,1287,185,2022
"2220T2835050U","2023-10-26","2022-11-22","2022-11-25","2022-11-26","2032-11-24",,,,,,"DPE 2006 tertiaire et ERP",2.2,"dpe tertiaire facture dans un bâtiment de logement","5ème Catégorie","autres tertiaires non ERP","B","A",,"1989-2000",29.8,100,0,"Pont de Travo 20240 Ventiseri",,"Pont de Travo","Ventiseri","20240","2B342","2B","94","2B342_B480",1230832.82,6116366.98,0.43,"adresse non géocodée ban car aucune correspondance trouvée","Résidence Les Oliviers - Travo","VENTISERI","20240",0,,"2022-11-010 Madame DONNINI Marie Georges","Etage :",50.6,1.4,,"Électricité","périmètre de l'usage inconnu",1656,720,720,2022,,,,,,,,,,,,
"2320T1585558L","2023-10-26","2023-05-11","2023-05-12","2023-05-13","2033-05-11",,,,,,"DPE 2006 tertiaire et ERP",2.2,"dpe tertiaire facture dans un bâtiment de logement","5ème Catégorie","L : Salles d'auditions, de conférences, de réunions, de spectacles ou à usage multiple","A","A",,"1948-1974",44.7,100,0,"Avenue du Marechal Lyautey 20090 Ajaccio",,"Avenue du Marechal Lyautey","Ajaccio","20090","2A004","2A","94","2a004_and4yo",1177066.04,6110434.36,0.69,"adresse géocodée ban à l'adresse","AVENUE MARECHAL LYAUTEY
IMMEUVLE MASSENA III
RESIDENCE LYAUTEY","AJACCIO","20090",0,,"23-05-SCI-1379","Etage RDC",29,0.8,"Électricité","Électricité","Chauffage",1423.7,619,354,2023,,,,,,,,,,,,
"2220T0593645X","2023-10-26","2022-03-14","2022-03-14","2022-03-23","2032-03-13",,,,,,"DPE 2006 tertiaire et ERP",2.1,"dpe tertiaire vierge",,"locaux d'entreprise (bureaux)",,,1997,"1989-2000",,173.7,500,"Cite Aurore Lupino 20600 Bastia",,"Cite Aurore Lupino","Bastia","20600","2B033","2B","94","2B033_A041",1227786.27,6196973.72,0.34,"adresse non géocodée ban car aucune correspondance trouvée","Quartier de Lupino","BASTIA","20600",0,"Lieu dit Ponte Prado",,,,,,,,,,,,,,,,,,,,,,,
"2220T0622841V","2023-10-26","2022-03-20","2022-03-26","2022-03-27","2032-03-25",,,,,,"DPE 2006 tertiaire et ERP",2.1,"dpe tertiaire facture","5ème Catégorie","M : Magasins de vente, centres commerciaux","G","D",2013,"2013-2021",68.7,100,0,"Route de lâ€ Ospedale 20137 Porto-Vecchio",,,"Porto-Vecchio","20137","2A247","2A","94","2A247_0266",1219249.58,6080386.62,0.49,"adresse géocodée ban à l'adresse","N°26 RESIDENCE U SANT'ANTONU
ROUTE DE L'OSPEDALE","PORTO-VECCHIO","20137",0,,,,1308.4,36.4,,"Électricité","périmètre de l'usage inconnu",98879.3,42991,7915,2022,,,,,,,,,,,,
"2120T0856482Z","2023-10-26","2021-12-05","2021-12-05","2021-12-06","2031-12-04",,,,,,"DPE 2006 tertiaire et ERP",1.1,"dpe tertiaire facture",,"locaux d'entreprise (bureaux)","B","A",1997,"1989-2000",,31.5,500,"Monte Cabana 20200 Ville-di-Pietrabugno",,"Monte Cabana","Ville-di-Pietrabugno","20200","2B353","2B","94","2b353_9sceag",1228027.68,6200651.95,0.41,"adresse non géocodée ban car aucune correspondance trouvée","Immeuble Napoleon","VILLE DI PIETRABUGNO","20200",,,,,56,1.6,"Électricité","Électricité","Chauffage",2697.9,1173,241,2019,"Électricité","Chauffage",1863,810,166.4,2020,"Électricité","Chauffage",726.8,316,64.9,2021
"2220T1015678Y","2023-10-26","2022-04-05","2022-05-10","2022-05-11","2032-05-09",,,,,,"DPE 2006 tertiaire et ERP",2.1,"dpe tertiaire facture","5ème Catégorie","N : Restaurants et débits de boisson","F","D",2005,"2006-2012",965,100,0,"27 Avenue de lâ€ Imperatrice Eugenie 20000 Ajaccio","27","Avenue de lâ€ Imperatrice Eugenie","Ajaccio","20000","2A004","2A","94","2a004_0730_00027",1176132.93,6108573.45,0.68,"adresse géocodée ban à l'adresse","Bâtiment Cuisine/Self
27 avenue Impératrice Eugénie","AJACCIO Cedex","20303",0,,,,458.1,31.7,,"Électricité","périmètre de l'usage inconnu",403811.8,175570.3,21803.3,2022,"GPL","périmètre de l'usage inconnu",82453.5,82453.5,9272.3,2022,,,,,,
"2420T2480553J","2024-07-09","2024-07-08","2024-07-08","2024-07-09","2034-07-07",,,,,,"DPE 2006 tertiaire et ERP",2.4,"dpe tertiaire vierge dans un bâtiment de logement",,"autres tertiaires non ERP",,,1850,"avant 1948",,54.4,500,"10 Avenue Maréchal Sébastiani 20200 Bastia","10","Avenue Maréchal Sébastiani","Bastia","20200","2B033","2B","94","2b033_1060_00010",1228424.76,6199731.88,0.96,"adresse géocodée ban à l'adresse","10 Avenue Maréchal Sébastiani","BASTIA","20200",0,"Local commercial",,,,,,,,,,,,,,,,,,,,,,,
"2220T1035216K","2023-10-26","2022-04-27","2022-05-11","2022-05-12","2032-05-10",,,,,,"DPE 2006 tertiaire et ERP",2.1,"dpe tertiaire facture","5ème Catégorie","M : Magasins de vente, centres commerciaux","B","A",1975,"1975-1977",279,100,0,"1408 Avenue Sampiero Corso 20600 Furiani","1408","Avenue Sampiero Corso","Furiani","20600","2B120","2B","94","2b120_0090_01408",1228256.61,6193600.31,0.59,"adresse géocodée ban à l'adresse","Local commercial AFECO
1408 avenue Sampiero Corso","FURIANI","20600",0,,,,69.3,2,,"Électricité","périmètre de l'usage inconnu",14534.9,6319.5,1282.5,2021,"Bois – Bûches","périmètre de l'usage inconnu",6720,6720,300,2022,,,,,,
"2420T3361600U","2024-09-26","2024-04-09","2024-09-25","2024-09-26","2034-09-24",,,,,,"DPE 2006 tertiaire et ERP",2.4,"dpe tertiaire facture",,"autres tertiaires non ERP","B","A",1953,"1948-1974",,391.7,500,"Hollywood A22 - Chemin du Loretto 20090 Ajaccio",,"Hollywood A22 - Chemin du Loretto","Ajaccio","20090","2A004","2A","94","2a004_lhps6t",1175387.96,6109719.64,0.3,"adresse non géocodée ban car aucune correspondance trouvée","Lieudit Mignatojo, Lotissement Martinetti","AJACCIO","20090",,,,,77.2,2.1,,"Électricité","périmètre de l'usage inconnu",30245,13150,2713,2023,,,,,,,,,,,,
"2120T0472383Y","2023-10-26","2021-10-06","2021-10-09","2021-10-10","2031-10-08",,,,,,"DPE 2006 tertiaire et ERP",1,"dpe tertiaire vierge","5ème Catégorie","GHW : Bureaux","A","A",1948,"1948-1974",25.6,100,,"15 Route de Ghisoni 20240 Ghisonaccia","15","Route de Ghisoni","Ghisonaccia","20240","2B123","2B","94","2b123_0191_00015",1231013.01,6123250.47,0.58,"adresse non géocodée ban car aucune correspondance trouvée","Immeuble Costantini   15, Route de Ghisoni","GHISONACCIA","20240",0,,,"Etage :",0.1,0.1,,"Électricité","périmètre de l'usage inconnu",0.1,0.1,0.1,0,,,,,,,,,,,,
"2120T0950192F","2023-10-26","2021-11-07","2021-12-19","2021-12-20","2031-12-18",,,,,,"DPE 2006 tertiaire et ERP",2,"dpe tertiaire facture","5ème Catégorie","O : Hôtels et pensions de famille","D","B",1948,"1948-1974",372.3,100,0,"Route de Palombaggia 20137 Porto-Vecchio",,,"Porto-Vecchio","20137","2A247","2A","94","2A247_xnavdo",1226658.23,6075195.26,0.45,"adresse géocodée ban à l'adresse","Les lièges de Palombaggia","PORTO-VECCHIO","20137",0,,,,200.4,5.6,,"Électricité","périmètre de l'usage inconnu",82068.6,35682,5959,2021,,,,,,,,,,,,
"2120T0285468X","2023-10-26","2021-09-07","2021-09-07","2021-09-08","2031-09-06",,,,,,"DPE 2006 tertiaire et ERP",1,,,"autres tertiaires non ERP","D","G",1900,"avant 1948",,40.7,500,"15 Cours Napoléon 20090 Ajaccio","15","Cours Napoléon","Ajaccio","20090","2A004","2A","94","2a004_0970_00015",1176520.84,6108451,0.89,"adresse géocodée ban à l'adresse","15 Cours Napoléon","AJACCIO","20000",0,"Bâtiment",,,214.7,7.8,"Électricité","Électricité","Chauffage",8740,3800,1144.4,2019,,,,,,,,,,,,
"2120T0133689G","2023-10-26","2021-08-02","2021-08-02","2021-08-03","2031-08-01",,,,,,"DPE 2006 tertiaire et ERP",1,,,"autres tertiaires non ERP","D","G",1990,"1989-2000",,204,500,"Residence Alzo Di Sole Aspretto 20090 Ajaccio",,,"Ajaccio","20090","2A004","2A","94","2A004_A005",1178259.83,6109633.85,0.57,"adresse non géocodée ban car aucune correspondance trouvée","Résidence Alzo di Sole, bâtiment F","AJACCIO","20090",,,,,174.9,7.3,,"Électricité","périmètre de l'usage inconnu",34725.4,15098,4353.8,2021,"Gaz naturel","périmètre de l'usage inconnu",959,959,138.3,2021,,,,,,
